"ID","Work Item Type","Title 1","Title 2","Description","Acceptance Criteria","Tags"
"","Epic","E4 · Agenda y eventos culturales","","<p>Calendario nacional que consolida festivales y conciertos, con filtros y enlace al mapa.</p>","","PNMC; E4"
"","Product Backlog Item","","HU-AGE-01 · Consulta del calendario nacional","<p>Como Visitante quiero ver la agenda consolidada de eventos para enterarme de festivales y conciertos.</p>","<p>Dado la Agenda, cuando carga, entonces veo los eventos publicados ordenados por fecha de inicio ascendente (primero los más próximos).</p>","PNMC; E4; HU-AGE-01; capa: público; posible solapamiento"
"","Product Backlog Item","","HU-AGE-02 · Filtros de eventos","<p>Como Visitante quiero filtrar por rango de fechas, categoría musical y municipio DIVIPOLA para encontrar eventos relevantes.</p>","<p>Dado la lista de eventos, cuando aplico filtros, entonces veo solo los que cumplen.</p><p>Dado que ningún evento cumple los filtros, cuando los aplico, entonces se muestra un mensaje de vacío (""No se encontraron eventos"").</p>","PNMC; E4; HU-AGE-02; capa: público; posible solapamiento"
"","Product Backlog Item","","HU-AGE-03 · Geolocalización del evento","<p>Como Visitante quiero ver la ubicación de un evento en el mapa para saber dónde ocurre.</p>","<p>Dado un evento, cuando pulso geolocalizar, entonces se abre el Mapa Ecosistémico centrado en su ubicación.</p>","PNMC; E4; HU-AGE-03; capa: público; posible solapamiento"
"","Product Backlog Item","","HU-AGE-04 · Gestión de eventos","<p>Como Gestor interno quiero crear y editar eventos de la agenda para mantener el calendario actualizado.</p>","<p>Dado la consola, cuando creo/edito un evento y lo envío al flujo, entonces queda registrado y sujeto a revisión/publicación.</p>","PNMC; E4; HU-AGE-04; capa: interno; posible solapamiento"
"","Epic","E5 · Noticias y boletines","","<p>Listado cronológico de comunicados y crónicas territoriales, con render HTML seguro.</p>","","PNMC; E5"
"","Product Backlog Item","","HU-NOT-01 · Consulta de noticias","<p>Como Visitante quiero leer las noticias ordenadas cronológicamente para seguir la actualidad del Plan.</p>","<p>Dado el módulo de noticias, cuando carga, entonces veo los comunicados publicados, más recientes primero.</p>","PNMC; E5; HU-NOT-01; capa: público"
"","Product Backlog Item","","HU-NOT-02 · Render seguro de contenido enriquecido","<p>Como Ministerio quiero que el HTML de las noticias se sanitice para proteger al visitante.</p>","<p>Dado una noticia con HTML enriquecido, cuando se muestra, entonces se interpreta a través de un parseador que elimina scripts y enlaces inseguros.</p>","PNMC; E5; HU-NOT-02; capa: público; diferenciador"
"","Product Backlog Item","","HU-NOT-03 · Publicación de noticias","<p>Como Gestor interno quiero redactar y publicar noticias con contenido enriquecido para comunicar al público.</p>","<p>Dado una noticia aprobada, cuando la publico, entonces aparece en el listado público.</p>","PNMC; E5; HU-NOT-03; capa: interno"
"","Epic","E6 · Galería de encuentros territoriales","","<p>Álbumes fotográficos de encuentros de música tradicional, administrables desde el CMS.</p>","","PNMC; E6"
"","Product Backlog Item","","HU-GAL-01 · Exploración de álbumes","<p>Como Visitante quiero explorar álbumes y carruseles fotográficos para ver los encuentros territoriales.</p>","<p>Dado la galería, cuando abro un álbum, entonces veo su carrusel de imágenes con descripciones.</p>","PNMC; E6; HU-GAL-01; capa: público"
"","Product Backlog Item","","HU-GAL-02 · Gestión de álbumes","<p>Como Webmaster quiero crear álbumes y cargar fotos y descripciones para mantener la galería al día.</p>","<p>Dado la consola, cuando doy de alta un álbum y subo imágenes, entonces queda disponible para publicación.</p>","PNMC; E6; HU-GAL-02; capa: interno"
"","Epic","E7 · Participación ciudadana y ""datos vivos""","","<p>El mecanismo para que la ciudadanía y las entidades aliadas alimenten y mantengan vivos los datos del ecosistema: envío de participación desde el mapa, autorregistro de externos y un wizard de caracterización con captura de coordenadas por arrastre. Tiene control de abuso (rate limiting).</p>","","PNMC; E7"
"","Product Backlog Item","","HU-PAR-01 · Envío de participación desde el mapa","<p>Como Ciudadano quiero aportar información desde el mapa para sumar un proceso cultural al ecosistema.</p>","<p>Dado el formulario de participación, cuando lo envío, entonces el aporte queda registrado para revisión.</p><p>Dado múltiples envíos, cuando se supera el límite (30/min), entonces el sistema rechaza el exceso para evitar abuso.</p>","PNMC; E7; HU-PAR-01; capa: público; diferenciador"
"","Product Backlog Item","","HU-PAR-02 · Autorregistro de colaborador externo","<p>Como Ciudadano (persona sin cuenta) quiero registrarme en la plataforma para obtener acceso como Externo y caracterizar mi proceso musical.</p>","<p>Dado el formulario de registro externo, cuando lo completo, entonces se crea mi cuenta de Externo.</p><p>Dado registros repetidos, cuando se supera el límite (10/min), entonces el sistema bloquea el exceso.</p>","PNMC; E7; HU-PAR-02; capa: público→registrado; diferenciador"
"","Product Backlog Item","","HU-PAR-03 · Wizard de caracterización","<p>Como Externo quiero caracterizar mi proceso por pasos guiados para entregar información completa y consistente.</p>","<p>Dado el wizard, cuando avanzo por los pasos, entonces la plataforma valida cada sección antes de continuar.</p><p>Dado el envío final, cuando confirmo, entonces el registro queda en estado borrador/en_revision para moderación.</p>","PNMC; E7; HU-PAR-03; capa: registrado; diferenciador"
"","Product Backlog Item","","HU-PAR-04 · Captura de coordenadas por arrastre","<p>Como Externo quiero marcar mi sede en un mapa para no tener que escribir latitud y longitud.</p>","<p>Dado un mapa centrado en mi municipio, cuando arrastro el marcador a mi sede, entonces el formulario autocompleta latitud y longitud con precisión decimal (evento dragend).</p>","PNMC; E7; HU-PAR-04; capa: registrado; diferenciador"
"","Product Backlog Item","","HU-PAR-05 · Trazabilidad del aporte","<p>Como Externo quiero saber en qué estado quedó mi aporte para hacer seguimiento.</p>","<p>Dado un aporte enviado, cuando consulto su estado, entonces veo si está en revisión, con ajustes solicitados, aprobado o publicado.</p>","PNMC; E7; HU-PAR-05; capa: registrado"
"","Epic","E8 · Caracterización del ecosistema (registros)","","<p>La creación y administración de los registros que pueblan el ecosistema: Escuelas de Música, Festivales, Lutieres y Redes de Investigación/Documentación, catalogados por DIVIPOLA y coordenadas.</p>","","PNMC; E8"
"","Product Backlog Item","","HU-REG-01 · Alta de registros del ecosistema","<p>Como Aliado editor / Gestor interno quiero crear registros (escuela, festival, lutier, red) para ampliar el inventario del ecosistema.</p>","<p>Dado el formulario del tipo correspondiente, cuando lo completo y guardo, entonces se crea el registro en estado borrador.</p>","PNMC; E8; HU-REG-01; capa: registrado/interno"
"","Product Backlog Item","","HU-REG-02 · Catalogación geográfica","<p>Como Aliado editor / Gestor interno quiero asociar cada registro a su municipio DIVIPOLA y coordenadas para que aparezca correctamente en el mapa.</p>","<p>Dado un registro, cuando asigno municipio (código de 5 dígitos) y coordenadas, entonces queda geolocalizable sin errores de grafía.</p>","PNMC; E8; HU-REG-02; capa: registrado/interno"
"","Product Backlog Item","","HU-REG-03 · Confinamiento por entidad aliada","<p>Como Ministerio quiero que cada aliado solo gestione los registros de su entidad para mantener la gobernanza de datos.</p>","<p>Dado un Aliado editor, cuando lista o edita registros, entonces solo accede a los de su EntidadAliadaId; cualquier intento fuera de su alcance es rechazado por el backend.</p>","PNMC; E8; HU-REG-03; capa: registrado; diferenciador"
"","Product Backlog Item","","HU-REG-04 · Datos de contacto con tratamiento Habeas Data","<p>Como Aliado editor / Gestor interno quiero capturar datos de contacto para la gestión interna, respetando que no se expongan públicamente.</p>","<p>Dado un registro con contacto, cuando se publica, entonces los datos personales se enmascaran en la capa pública (ver HU-MAP-05).</p>","PNMC; E8; HU-REG-04; capa: registrado/interno; diferenciador"
"","Epic","E9 · Identidad, autenticación y roles (RBAC)","","<p>El sistema de inicio de sesión y control de acceso por roles. Autenticación por cookie de sesión (pnmc.admin, 8 h, sliding), respuestas 401/403 (sin redirección), y autorización siempre en el backend.</p>","","PNMC; E9"
"","Product Backlog Item","","HU-AUT-01 · Inicio de sesión interno","<p>Como Webmaster / Gestor interno quiero iniciar sesión para entrar a la consola administrativa.</p>","<p>Dado credenciales válidas, cuando inicio sesión en /admin, entonces recibo una sesión por cookie y acceso según mi rol.</p><p>Dado credenciales inválidas, cuando intento entrar, entonces recibo 401 sin revelar si el usuario existe (respuesta genérica de credenciales inválidas).</p>","PNMC; E9; HU-AUT-01; capa: interno; posible solapamiento"
"","Product Backlog Item","","HU-AUT-02 · Inicio de sesión de colaboradores","<p>Como Aliado / Externo quiero iniciar sesión para acceder a /colaboradores.</p>","<p>Dado credenciales válidas, cuando inicio sesión, entonces accedo al portal de colaboradores con las opciones de mi rol.</p>","PNMC; E9; HU-AUT-02; capa: registrado; posible solapamiento"
"","Product Backlog Item","","HU-AUT-03 · Autorización por rol","<p>Como Ministerio quiero que cada acción valide el rol en el backend para que la seguridad no dependa del frontend.</p>","<p>Dado una acción protegida, cuando la solicita un rol sin permiso, entonces el backend responde 403 aunque la UI lo hubiera permitido.</p>","PNMC; E9; HU-AUT-03; capa: transversal; posible solapamiento"
"","Product Backlog Item","","HU-AUT-04 · Confinamiento de aliados","<p>Como Ministerio quiero que los aliados queden limitados a su entidad para aislar la información entre organizaciones.</p>","<p>Dado un usuario aliado, cuando opera, entonces todas sus consultas se filtran por su EntidadAliadaId.</p>","PNMC; E9; HU-AUT-04; capa: registrado; diferenciador"
"","Product Backlog Item","","HU-AUT-05 · Expiración segura de sesión","<p>Como Ministerio quiero que las sesiones expiren para reducir el riesgo de accesos indebidos.</p>","<p>Dado una sesión inactiva, cuando vence la ventana (8 h sliding), entonces las solicitudes responden 401 y se exige re-autenticar.</p>","PNMC; E9; HU-AUT-05; capa: transversal; posible solapamiento"
"","Epic","E10 · Entidades aliadas y portal de colaboradores","","<p>El ciclo de vinculación de entidades aliadas (organizaciones del territorio) y el portal /colaboradores donde operan. Incluye solicitud de aliado, revisión, y gestión de usuarios por entidad.</p>","","PNMC; E10"
"","Product Backlog Item","","HU-ALI-01 · Solicitud para ser entidad aliada","<p>Como Visitante (representante de una organización) quiero solicitar ser entidad aliada para participar formalmente en el PNMC.</p>","<p>Dado el formulario de solicitud de aliado, cuando lo envío, entonces queda en estado pendiente para revisión del Ministerio.</p>","PNMC; E10; HU-ALI-01; capa: público→registrado; diferenciador"
"","Product Backlog Item","","HU-ALI-02 · Revisión de solicitudes de aliado","<p>Como Gestor interno / Webmaster quiero revisar las solicitudes para aprobar, rechazar o pedir ajustes.</p>","<p>Dado una solicitud pendiente, cuando la apruebo, entonces se crea la entidad aliada y su administrador; cuando pido ajustes, entonces vuelve al solicitante con comentarios.</p>","PNMC; E10; HU-ALI-02; capa: interno; diferenciador"
"","Product Backlog Item","","HU-ALI-03 · Gestión de usuarios de la entidad","<p>Como Aliado admin quiero vincular y administrar usuarios de mi entidad para organizar a mi equipo.</p>","<p>Dado mi entidad aprobada, cuando vinculo un usuario con rol (editor/lector), entonces ese usuario queda asociado a mi EntidadAliadaId con su alcance.</p>","PNMC; E10; HU-ALI-03; capa: registrado; diferenciador"
"","Product Backlog Item","","HU-ALI-04 · Operación en el portal de colaboradores","<p>Como Aliado (admin/editor/lector) quiero operar en /colaboradores según mi rol para gestionar la información de mi entidad.</p>","<p>Dado mi rol, cuando entro al portal, entonces veo solo las acciones permitidas (lector consulta; editor edita; admin administra).</p>","PNMC; E10; HU-ALI-04; capa: registrado"
"","Product Backlog Item","","HU-ALI-05 · Solicitud de vinculación de un usuario a una entidad","<p>Como Externo quiero solicitar vincularme a una entidad aliada para colaborar con ella.</p>","<p>Dado una solicitud de vinculación, cuando el Aliado admin/Gestor la aprueba, entonces quedo vinculado con el rol asignado.</p>","PNMC; E10; HU-ALI-05; capa: registrado; diferenciador"
"","Epic","E11 · Flujo editorial, moderación y auditoría","","<p>El corazón de la gobernanza de contenidos: un flujo de 7 estados por el que pasa todo registro, con consola de moderación e historial inmutable de cada transición.</p>","","PNMC; E11"
"","Product Backlog Item","","HU-MOD-01 · Ciclo de vida de un registro","<p>Como Ministerio quiero que cada registro siga un flujo de estados controlado para garantizar calidad antes de publicar.</p>","<p>Dado un registro en borrador, cuando se envía a revisión, entonces pasa a en_revision siguiendo el flujo definido.</p><p>Dado un registro en borrador, cuando se intenta publicarlo directamente sin pasar por en_revision/aprobado, entonces el backend rechaza la transición (error) y el estado permanece en borrador.</p>","PNMC; E11; HU-MOD-01; capa: interno; diferenciador"
"","Product Backlog Item","","HU-MOD-02 · Revisión con decisión y comentario","<p>Como Gestor interno / Webmaster quiero aprobar, rechazar o solicitar ajustes con comentario para dar trazabilidad a la decisión.</p>","<p>Dado un registro en_revision, cuando decido, entonces cambia al estado correspondiente y se guarda mi comentario.</p>","PNMC; E11; HU-MOD-02; capa: interno; diferenciador"
"","Product Backlog Item","","HU-MOD-03 · ""Ajustes solicitados"" como estado propio","<p>Como Gestor interno / Webmaster quiero devolver un registro con observaciones para que el autor corrija sin perder el contexto.</p>","<p>Dado un registro devuelto, cuando queda en ajustes_solicitados, entonces es un estado distinto de en_revision y el autor ve las observaciones.</p>","PNMC; E11; HU-MOD-03; capa: interno; diferenciador"
"","Product Backlog Item","","HU-MOD-04 · Solo lo publicado es visible al público","<p>Como Ministerio quiero que el público vea únicamente registros publicado para no exponer borradores o material no validado.</p>","<p>Dado un registro no publicado, cuando un visitante consulta el portal/mapa, entonces no aparece.</p>","PNMC; E11; HU-MOD-04; capa: interno/público; diferenciador"
"","Product Backlog Item","","HU-MOD-05 · Auditoría inmutable de transiciones","<p>Como Ministerio quiero un historial inalterable de cada cambio de estado para rendición de cuentas.</p>","<p>Dado cualquier transición administrativa, cuando ocurre, entonces se registra en el historial (RegistrosRevisionHistorial) con autor, fecha y detalle, sin permitir edición posterior.</p>","PNMC; E11; HU-MOD-05; capa: interno; diferenciador"
"","Product Backlog Item","","HU-MOD-06 · Consola de moderación","<p>Como Gestor interno / Webmaster quiero una consola con los registros por estado y tipo para gestionar la cola de trabajo.</p>","<p>Dado la consola, cuando filtro por estado o tipo, entonces veo la lista correspondiente y puedo actuar sobre cada ítem.</p>","PNMC; E11; HU-MOD-06; capa: interno; diferenciador"
"","Epic","E12 · Gobernanza y calidad de datos","","<p>Herramientas para mantener la integridad del ecosistema: detección de duplicados, banderas de calidad y solicitudes de vinculación de registros.</p>","","PNMC; E12"
"","Product Backlog Item","","HU-GOB-01 · Detección de candidatos a duplicados","<p>Como Gestor interno quiero que el sistema señale posibles registros duplicados para evitar información redundante.</p>","<p>Dado registros similares, cuando el sistema los detecta (según un puntaje y nivel de coincidencia), entonces los presenta como candidatos a duplicado con su evidencia.</p>","PNMC; E12; HU-GOB-01; capa: interno; diferenciador"
"","Product Backlog Item","","HU-GOB-02 · Resolución de duplicados","<p>Como Gestor interno quiero decidir sobre un candidato a duplicado para consolidar el dato correcto.</p>","<p>Dado un candidato, cuando lo resuelvo (confirmar/descartar), entonces queda la decisión registrada y el catálogo consistente.</p>","PNMC; E12; HU-GOB-02; capa: interno; diferenciador"
"","Product Backlog Item","","HU-GOB-03 · Banderas de calidad de datos","<p>Como Gestor interno quiero marcar y seguir banderas de calidad por registro para priorizar correcciones.</p>","<p>Dado un registro con problemas, cuando se le abre una bandera de calidad, entonces queda señalado con severidad y estado para gestión.</p>","PNMC; E12; HU-GOB-03; capa: interno; diferenciador"
"","Product Backlog Item","","HU-GOB-04 · Solicitudes de vinculación de registros","<p>Como Aliado editor / Gestor interno quiero solicitar vincular un registro a mi entidad para gestionarlo legítimamente.</p>","<p>Dado una solicitud de vinculación de registro, cuando el revisor la aprueba, entonces se asigna el alcance solicitado y queda auditada.</p>","PNMC; E12; HU-GOB-04; capa: interno; diferenciador"
"","Epic","E13 · Notificaciones","","<p>El sistema de avisos a usuarios ante eventos relevantes (cambios de estado, solicitudes, etc.), con bandeja y administración.</p>","","PNMC; E13"
"","Product Backlog Item","","HU-NOC-01 · Bandeja de notificaciones","<p>Como usuario de la plataforma quiero recibir notificaciones de eventos que me competen para estar al tanto.</p>","<p>Dado un evento relevante (p. ej. mi registro pasa a ajustes_solicitados), cuando ocurre, entonces se genera una notificación dirigida a mí.</p>","PNMC; E13; HU-NOC-01; capa: registrado/interno"
"","Product Backlog Item","","HU-NOC-02 · Administración de notificaciones","<p>Como Gestor interno / Webmaster quiero consultar y gestionar las notificaciones para dar seguimiento operativo.</p>","<p>Dado el panel de notificaciones, cuando lo abro, entonces veo el estado de cada notificación (pendiente, enviada, leída, error).</p>","PNMC; E13; HU-NOC-02; capa: interno"
"","Epic","E14 · Administración de la plataforma (Webmaster)","","<p>Las capacidades transversales de administración: gestión de usuarios y roles, datos maestros y operaciones de la consola unificada.</p>","","PNMC; E14"
"","Product Backlog Item","","HU-ADM-01 · Gestión de usuarios y roles","<p>Como Webmaster quiero crear y administrar usuarios y asignarles rol para controlar el acceso a la plataforma.</p>","<p>Dado la consola de usuarios, cuando creo/edito un usuario y le asigno un rol, entonces sus permisos se aplican según el RBAC.</p>","PNMC; E14; HU-ADM-01; capa: interno"
"","Product Backlog Item","","HU-ADM-02 · Gestión de datos maestros","<p>Como Webmaster quiero administrar catálogos y datos maestros (incluida DIVIPOLA) para mantener la consistencia del sistema.</p>","<p>Dado un catálogo maestro, cuando lo actualizo, entonces los módulos que lo usan reflejan el cambio.</p>","PNMC; E14; HU-ADM-02; capa: interno"
"","Product Backlog Item","","HU-ADM-03 · Consola administrativa unificada","<p>Como Webmaster / Gestor interno quiero una consola central con todos los paneles para operar la plataforma desde un solo lugar.</p>","<p>Dado mi rol, cuando entro a /admin, entonces veo los paneles a los que tengo permiso (textos, contenidos, moderación, usuarios, datos).</p>","PNMC; E14; HU-ADM-03; capa: interno"
"","Product Backlog Item","","HU-ADM-04 · Importación / exportación de datos","<p>Como Gestor interno quiero importar y exportar datos (p. ej. en Excel) para cargas y reportes masivos.</p>","<p>Dado un archivo de carga válido, cuando lo importo, entonces el sistema valida y registra los datos sin errores.</p><p>Dado un archivo inválido, cuando lo importo, entonces el sistema informa los errores de validación y no persiste datos incorrectos.</p>","PNMC; E14; HU-ADM-04; capa: interno"
